timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
16.724,0.2346,0,6,0.3588
16.740,0.2661,0,6,0.3584
16.755,0.2878,0,6,0.3581
16.770,0.2900,0,6,0.3578
16.786,0.2935,0,6,0.3574
16.801,0.2990,0,6,0.3571
16.817,0.3033,0,6,0.3568
16.832,0.3017,0,6,0.3565
16.848,0.3026,0,6,0.3561
16.863,0.3030,0,6,0.3558
16.879,0.3051,0,6,0.3555
16.895,0.3056,0,6,0.3551
16.911,0.3020,0,6,0.3548
16.927,0.3015,0,6,0.3545
16.942,0.3023,0,6,0.3541
16.958,0.3032,0,6,0.3538
16.973,0.3012,0,6,0.3535
16.988,0.3025,0,6,0.3532
17.004,0.2993,0,6,0.3529
17.019,0.2997,0,6,0.3525
17.035,0.2986,0,6,0.3522
17.049,0.2959,0,6,0.3519
17.065,0.2974,0,6,0.3516
17.080,0.3076,0,6,0.3513
17.095,0.3075,0,6,0.3510
17.110,0.3036,0,6,0.3507
17.126,0.3053,0,6,0.3503
17.142,0.3083,0,6,0.3500
17.158,0.3058,0,6,0.3497
17.173,0.3082,0,6,0.3494
17.189,0.3110,0,6,0.3491
17.204,0.3077,0,6,0.3488
17.220,0.3058,0,6,0.3484
17.235,0.3056,0,6,0.3481
17.251,0.3046,0,6,0.3478
17.266,0.3053,0,6,0.3475
17.282,0.3050,0,6,0.3472
17.297,0.3069,0,6,0.3469
17.312,0.3067,0,6,0.3466
17.328,0.3083,0,6,0.3463
17.343,0.3096,0,6,0.3460
17.359,0.3112,0,6,0.3456
17.375,0.3075,0,6,0.3453
17.391,0.3098,0,6,0.3450
17.407,0.3070,0,6,0.3447
17.422,0.3026,0,6,0.3444
17.438,0.3038,0,6,0.3441
17.454,0.3060,0,6,0.3438
17.470,0.3086,0,6,0.3434
17.485,0.3059,0,6,0.3431
17.501,0.3094,0,6,0.3428
17.517,0.3043,0,6,0.3425
17.532,0.3104,0,6,0.3422
17.548,0.3112,0,6,0.3419
17.564,0.3108,0,6,0.3416
17.580,0.3144,0,6,0.3413
17.595,0.3134,0,6,0.3410
17.611,0.3134,0,6,0.3407
